USGS,13141500,CAMAS,CREEK,NR,BLAINE,ID
Streamgage,Date,Mean Q (cfs),Year,Month,Day,Mean Q (cms)
13141500,10/1/69,8.2,1969,10,1,0.232206613
13141500,10/2/69,8.2,1969,10,2,0.232206613
13141500,10/3/69,7.7,1969,10,3,0.218047673
13141500,10/4/69,7.7,1969,10,4,0.218047673
13141500,10/5/69,7.7,1969,10,5,0.218047673
13141500,10/6/69,7.7,1969,10,6,0.218047673
13141500,10/7/69,7.7,1969,10,7,0.218047673
13141500,10/8/69,8.2,1969,10,8,0.232206613
13141500,10/9/69,8.7,1969,10,9,0.246365553
13141500,10/10/69,8.7,1969,10,10,0.246365553
13141500,10/11/69,9.2,1969,10,11,0.260524492
13141500,10/12/69,10,1969,10,12,0.283178796
13141500,10/13/69,11,1969,10,13,0.311496676
13141500,10/14/69,11,1969,10,14,0.311496676
13141500,10/15/69,12,1969,10,15,0.339814555
13141500,10/16/69,13,1969,10,16,0.368132435
13141500,10/17/69,13,1969,10,17,0.368132435
13141500,10/18/69,14,1969,10,18,0.396450315
13141500,10/19/69,15,1969,10,19,0.424768194
13141500,10/20/69,17,1969,10,20,0.481403953
13141500,10/21/69,19,1969,10,21,0.538039713
13141500,10/22/69,19,1969,10,22,0.538039713
13141500,10/23/69,18,1969,10,23,0.509721833
13141500,10/24/69,17,1969,10,24,0.481403953
13141500,10/25/69,18,1969,10,25,0.509721833
13141500,10/26/69,18,1969,10,26,0.509721833
13141500,10/27/69,17,1969,10,27,0.481403953
13141500,10/28/69,17,1969,10,28,0.481403953
13141500,10/29/69,17,1969,10,29,0.481403953
13141500,10/30/69,18,1969,10,30,0.509721833
13141500,10/31/69,20,1969,10,31,0.566357592
13141500,11/1/69,19,1969,11,1,0.538039713
13141500,11/2/69,19,1969,11,2,0.538039713
13141500,11/3/69,19,1969,11,3,0.538039713
13141500,11/4/69,19,1969,11,4,0.538039713
13141500,11/5/69,20,1969,11,5,0.566357592
13141500,11/6/69,22,1969,11,6,0.622993352
13141500,11/7/69,23,1969,11,7,0.651311231
13141500,11/8/69,23,1969,11,8,0.651311231
13141500,11/9/69,22,1969,11,9,0.622993352
13141500,11/10/69,21,1969,11,10,0.594675472
13141500,11/11/69,21,1969,11,11,0.594675472
13141500,11/12/69,21,1969,11,12,0.594675472
13141500,11/13/69,21,1969,11,13,0.594675472
13141500,11/14/69,22,1969,11,14,0.622993352
13141500,11/15/69,21,1969,11,15,0.594675472
13141500,11/16/69,22,1969,11,16,0.622993352
13141500,11/17/69,21,1969,11,17,0.594675472
13141500,11/18/69,19,1969,11,18,0.538039713
13141500,11/19/69,19,1969,11,19,0.538039713
13141500,11/20/69,17,1969,11,20,0.481403953
13141500,11/21/69,17,1969,11,21,0.481403953
13141500,11/22/69,19,1969,11,22,0.538039713
13141500,11/23/69,19,1969,11,23,0.538039713
13141500,11/24/69,19,1969,11,24,0.538039713
13141500,11/25/69,19,1969,11,25,0.538039713
13141500,11/26/69,19,1969,11,26,0.538039713
13141500,11/27/69,19,1969,11,27,0.538039713
13141500,11/28/69,19,1969,11,28,0.538039713
13141500,11/29/69,19,1969,11,29,0.538039713
13141500,11/30/69,22,1969,11,30,0.622993352
13141500,12/1/69,21,1969,12,1,0.594675472
13141500,12/2/69,20,1969,12,2,0.566357592
13141500,12/3/69,20,1969,12,3,0.566357592
13141500,12/4/69,21,1969,12,4,0.594675472
13141500,12/5/69,19,1969,12,5,0.538039713
13141500,12/6/69,19,1969,12,6,0.538039713
13141500,12/7/69,23,1969,12,7,0.651311231
13141500,12/8/69,21,1969,12,8,0.594675472
13141500,12/9/69,20,1969,12,9,0.566357592
13141500,12/10/69,19,1969,12,10,0.538039713
13141500,12/11/69,18,1969,12,11,0.509721833
13141500,12/12/69,20,1969,12,12,0.566357592
13141500,12/13/69,20,1969,12,13,0.566357592
13141500,12/14/69,19,1969,12,14,0.538039713
13141500,12/15/69,19,1969,12,15,0.538039713
13141500,12/16/69,20,1969,12,16,0.566357592
13141500,12/17/69,22,1969,12,17,0.622993352
13141500,12/18/69,21,1969,12,18,0.594675472
13141500,12/19/69,21,1969,12,19,0.594675472
13141500,12/20/69,23,1969,12,20,0.651311231
13141500,12/21/69,25,1969,12,21,0.70794699
13141500,12/22/69,27,1969,12,22,0.76458275
13141500,12/23/69,28,1969,12,23,0.792900629
13141500,12/24/69,23,1969,12,24,0.651311231
13141500,12/25/69,26,1969,12,25,0.73626487
13141500,12/26/69,32,1969,12,26,0.906172148
13141500,12/27/69,24,1969,12,27,0.679629111
13141500,12/28/69,19,1969,12,28,0.538039713
13141500,12/29/69,20,1969,12,29,0.566357592
13141500,12/30/69,21,1969,12,30,0.594675472
