Y,M,D,Q (cms)
2000,10,1,8.694
2000,10,2,9.062
2000,10,3,8.807
2000,10,4,8.779
2000,10,5,8.75
2000,10,6,8.779
2000,10,7,8.779
2000,10,8,8.722
2000,10,9,8.665
2000,10,10,8.835
2000,10,11,10.449
2000,10,12,12.432
2000,10,13,12.601
2000,10,14,11.242
2000,10,15,11.101
2000,10,16,10.534
2000,10,17,10.223
2000,10,18,10.053
2000,10,19,9.94
2000,10,20,9.855
2000,10,21,12.97
2000,10,22,12.686
2000,10,23,11.044
2000,10,24,10.591
2000,10,25,10.336
2000,10,26,10.336
2000,10,27,11.61
2000,10,28,11.186
2000,10,29,15.405
2000,10,30,15.377
2000,10,31,13.734
2000,11,1,13.139
2000,11,2,12.46
2000,11,3,11.809
2000,11,4,11.809
2000,11,5,12.262
2000,11,6,11.412
2000,11,7,10.364
2000,11,8,11.327
2000,11,9,11.837
2000,11,10,11.44
2000,11,11,11.016
2000,11,12,10.138
2000,11,13,9.911
2000,11,14,10.902
2000,11,15,11.61
2000,11,16,9.826
2000,11,17,9.232
2000,11,18,8.722
2000,11,19,9.062
2000,11,20,10.223
2000,11,21,10.789
2000,11,22,11.384
2000,11,23,10.393
2000,11,24,11.469
2000,11,25,10.987
2000,11,26,11.469
2000,11,27,11.78
2000,11,28,10.648
2000,11,29,9.968
2000,11,30,12.29
2000,12,1,10.931
2000,12,2,9.685
2000,12,3,10.336
2000,12,4,10.704
2000,12,5,10.053
2000,12,6,10.081
2000,12,7,10.194
2000,12,8,11.101
2000,12,9,10.959
2000,12,10,10.194
2000,12,11,9.628
2000,12,12,9.486
2000,12,13,10.931
2000,12,14,11.469
2000,12,15,11.355
2000,12,16,9.43
2000,12,17,10.817
2000,12,18,9.628
2000,12,19,8.495
2000,12,20,9.628
2000,12,21,11.327
2000,12,22,11.95
2000,12,23,11.497
2000,12,24,11.582
2000,12,25,10.279
2000,12,26,8.156
2000,12,27,9.062
2000,12,28,9.628
2000,12,29,9.628
2000,12,30,9.628
2000,12,31,9.628
2001,1,1,9.062
2001,1,2,9.062
2001,1,3,9.09
2001,1,4,10.959
2001,1,5,11.327
2001,1,6,10.761
2001,1,7,8.495
2001,1,8,9.798
2001,1,9,13.819
2001,1,10,13.139
2001,1,11,11.837
2001,1,12,12.092
2001,1,13,11.639
2001,1,14,11.271
2001,1,15,10.251
2001,1,16,7.589
2001,1,17,6.74
2001,1,18,9.826
2001,1,19,11.894
2001,1,20,11.327
2001,1,21,10.761
2001,1,22,11.242
2001,1,23,10.761
2001,1,24,10.761
2001,1,25,11.157
2001,1,26,10.563
2001,1,27,9.515
2001,1,28,7.363
2001,1,29,7.929
2001,1,30,10.534
2001,1,31,11.299
2001,2,1,11.299
2001,2,2,10.987
2001,2,3,10.902
2001,2,4,10.789
2001,2,5,10.704
2001,2,6,10.279
2001,2,7,9.062
2001,2,8,7.363
2001,2,9,9.09
2001,2,10,11.214
2001,2,11,10.704
2001,2,12,10.194
2001,2,13,10.025
2001,2,14,9.826
2001,2,15,9.515
2001,2,16,10.308
2001,2,17,9.996
2001,2,18,10.053
2001,2,19,10.194
2001,2,20,10.478
2001,2,21,10.591
2001,2,22,10.789
2001,2,23,10.506
2001,2,24,10.364
2001,2,25,10.393
2001,2,26,9.94
2001,2,27,9.26
2001,2,28,9.232
2001,3,1,9.515
2001,3,2,11.469
2001,3,3,10.846
2001,3,4,10.704
2001,3,5,11.214
2001,3,6,11.554
2001,3,7,12.743
2001,3,8,14.414
2001,3,9,16.708
2001,3,10,16.623
2001,3,11,16.339
2001,3,12,15.688
2001,3,13,15.433
2001,3,14,15.518
2001,3,15,14.782
2001,3,16,15.15
2001,3,17,14.414
2001,3,18,14.074
2001,3,19,14.924
2001,3,20,19.228
2001,3,21,22.314
2001,3,22,22.824
2001,3,23,23.306
2001,3,24,24.835
2001,3,25,28.261
2001,3,26,29.167
2001,3,27,25.09
2001,3,28,23.844
2001,3,29,22.456
2001,3,30,22.003
2001,3,31,21.408
2001,4,1,22.881
2001,4,2,23.221
2001,4,3,20.927
2001,4,4,20.757
2001,4,5,19.568
2001,4,6,19.426
2001,4,7,19.313
2001,4,8,18.718
2001,4,9,17.104
2001,4,10,17.614
2001,4,11,17.699
2001,4,12,17.699
2001,4,13,16.962
2001,4,14,16.453
2001,4,15,16.623
2001,4,16,17.557
2001,4,17,19.596
2001,4,18,22.598
2001,4,19,26.279
2001,4,20,27.723
2001,4,21,27.327
2001,4,22,26.732
2001,4,23,26.251
2001,4,24,25.741
2001,4,25,28.148
2001,4,26,35.114
2001,4,27,45.592
2001,4,28,54.937
2001,4,29,51.255
2001,4,30,46.158
2001,5,1,46.725
2001,5,2,43.043
2001,5,3,39.362
2001,5,4,37.096
2001,5,5,37.663
2001,5,6,39.362
2001,5,7,39.645
2001,5,8,41.627
2001,5,9,46.158
2001,5,10,48.99
2001,5,11,50.123
2001,5,12,52.954
2001,5,13,65.131
2001,5,14,69.096
2001,5,15,93.166
2001,5,16,99.396
2001,5,17,80.706
2001,5,18,67.963
