Year,Month,Day,Prec,SM-2,SM-4,SM-8,SM-20,SM-40
2010,1,1,0,31.9,37.8,28.3,26.1,9.6
2010,1,2,0,32.2,37.4,28.7,26.8,9.9
2010,1,3,0,32,36.9,28.1,26.5,9.5
2010,1,4,0,31.6,36.4,28.2,27.1,9.6
2010,1,5,0,31.6,36.7,27.7,26.9,9.7
2010,1,6,0,31.3,36.3,27.8,26.9,9.7
2010,1,7,0,31.5,36.1,27.7,27.5,9.7
2010,1,8,0,31,30.2,27.7,27.4,9.5
2010,1,9,0,30.8,20.1,27.5,27.1,9.5
2010,1,10,0,30.5,17.5,27.4,27.1,9.5
2010,1,11,0,30.3,22.5,27,27.2,9.6
2010,1,12,0,30.2,30.7,27.1,27.3,9.3
2010,1,13,0,30.3,33,26.7,27.1,9.2
2010,1,14,0,30.4,34.1,27,27.1,9.4
2010,1,15,0,30.6,33.7,27.3,26.9,9.5
2010,1,16,0,30.5,33.4,26.9,27,9.4
2010,1,17,0,30.4,33.3,27,27.4,9.6
2010,1,18,0,30.5,33.1,26.8,27.3,9.4
2010,1,19,0,30.6,32.8,27,27.1,9.6
2010,1,20,0,30.6,32.7,26.9,27.1,9.2
2010,1,21,5.842,32.1,39,28.4,27.6,9.7
2010,1,22,0,31.8,37.3,27.9,27.5,9.7
2010,1,23,0,31.7,37.2,28.2,27.4,9.5
2010,1,24,1.016,31.5,36.1,27.9,27.6,9.4
2010,1,25,0,31.3,35.8,27.6,27.6,9.4
2010,1,26,0,31,35.1,27.4,27.5,9.6
2010,1,27,0,31.2,34.9,27.6,27.5,9.7
2010,1,28,0,30.8,34.3,27.8,27.4,9.6
2010,1,29,0.254,30.8,34.8,27.4,27.4,9.6
2010,1,30,0,30.7,35.5,27.2,27.7,9.7
2010,1,31,6.096,31.3,37.5,27.6,27.3,9.5
2010,2,1,0,31.5,37.6,28,27.4,9.5
2010,2,2,3.556,33.6,41.5,31.2,28,9.6
2010,2,3,3.556,33.6,40.8,30.6,29.3,9.6
2010,2,4,2.032,34.5,42.4,31.4,30.6,9.8
2010,2,5,3.302,34.7,42.5,31.9,30.5,9.6
2010,2,6,0,32.9,39.2,29.7,30,15
2010,2,7,0,32.4,38.3,28.9,29.3,20.7
2010,2,8,1.016,32.8,40.6,29.4,29.4,21.1
2010,2,9,6.858,32.7,38.8,29.3,29.5,21.5
2010,2,10,0,32.5,38.3,29.2,29.5,21.9
2010,2,11,0,32.3,37.9,28.9,29.2,22.5
2010,2,12,0,32.1,37.6,28.9,29,22.4
2010,2,13,0,32,37.3,28.5,28.9,22.5
2010,2,14,0.254,31.8,36.7,28.4,28.8,22.4
2010,2,15,0.254,31.6,35.9,28.1,29,22.6
2010,2,16,0,31.4,35.6,28,28.8,22.3
2010,2,17,0,31.2,35.4,27.9,28.6,22.5
2010,2,18,0,31.2,35.4,27.9,28.5,22.3
2010,2,19,0,31.2,35,27.9,28.7,22.2
2010,2,20,0,31.1,35,27.8,28.4,22.3
2010,2,21,1.778,-99.9,-99.9,-99.9,-99.9,22.3
2010,2,22,10.668,32.8,38.2,29.1,29.8,22.1
2010,2,23,0,32.4,37.5,28.7,29.3,22.7
2010,2,24,0,32.1,36.8,28.4,29.5,22.7
2010,2,25,0,32.1,36.5,28.3,28.8,22.9
2010,2,26,1.27,32.7,39.1,28.8,28.9,22.7
2010,2,27,3.302,32.3,37.7,28.4,28.9,22.6
2010,2,28,0,32,36.8,28.7,29.1,22.8
2010,3,1,0,31.6,36.3,28.5,29.3,22.9
2010,3,2,0,31.6,36.3,28.3,29,23
2010,3,3,0,31.5,35.7,28.3,28.8,22.8
2010,3,4,0,31.3,35.5,28,29.1,22.7
2010,3,5,0,31.3,35.1,27.4,28.8,22.9
2010,3,6,0,31.2,34.9,27.6,28.6,22.7
2010,3,7,0,30.9,35.9,27.6,28.4,22.8
2010,3,8,2.54,32.2,43.7,28.4,28.5,22.6
2010,3,9,12.7,33.4,39.1,29.6,30.2,22.7
2010,3,10,0,32.8,37.9,29,29.9,23.2
2010,3,11,0.254,32.3,37.1,28.7,29.5,23.6
2010,3,12,0.254,32.2,36.7,28.4,29.2,23.7
2010,3,13,0,31.8,36.2,28.2,28.8,23.7
2010,3,14,0,31.7,35.7,28,29.2,23.6
2010,3,15,0,31.6,35.6,27.5,28.9,23.5
2010,3,16,0,31.3,35.3,28,29.1,23.3
2010,3,17,0,31,35.1,27.9,28.7,23.3
2010,3,18,0,31,34.9,27.4,28.3,23.2
2010,3,19,0,30.8,34.3,27.3,28,23
2010,3,20,0.508,30.8,33.7,26.8,28,23
2010,3,21,0,30.7,34.9,27.4,28.3,23
2010,3,22,2.032,36.9,45,33.2,33.5,42.5
2010,3,23,0,35.3,41.8,32,31.9,33.6
2010,3,24,0,33.1,37.8,29.2,30.4,26
2010,3,25,0,32.7,37.3,28.9,29.6,25.5
2010,3,26,0.762,32.4,36.2,28.7,29.8,25.3
2010,3,27,0,32,35.7,28.3,29.4,24.9
2010,3,28,1.524,32,36.6,28.2,29.1,24.8
2010,3,29,0,31.7,36.3,28.2,29.2,24.7
2010,3,30,0,31.5,35.9,27.9,29,24.4
2010,3,31,0,31.3,35,27.9,28.9,24.2
2010,4,1,0,31.2,34.2,27.2,29,24.2
2010,4,2,0,33.6,40.1,29.4,28.7,24
2010,4,3,12.446,32.6,37.5,28.5,28.7,23.9
2010,4,4,0,32.2,36.3,28.3,29.4,23.9
2010,4,5,0,31.8,35.5,28,29,23.9
2010,4,6,0,31.4,34.7,27.5,28.9,23.8
2010,4,7,0,31.1,34.1,27.6,28.4,23.7
2010,4,8,0,30.6,33.2,27.5,28.7,23.7
2010,4,9,0,30.4,32.4,27.1,28.6,23.6
2010,4,10,0,30,31.5,26.5,28.4,23.7
2010,4,11,0,29.7,30.5,26.4,28.3,23.4
2010,4,12,0,29.4,29.8,25.9,28.6,23.4
2010,4,13,0,28.9,28.7,25.5,27.6,23.2
2010,4,14,0,28.3,27.4,25.3,27.7,23.4
2010,4,15,0,27.9,26.2,24.8,27.4,23.1
2010,4,16,0,27.6,31.2,24.9,28.1,23.3
2010,4,17,20.066,34,41.6,25.9,28.1,23.1
2010,4,18,14.732,34.7,41.9,30.5,29.9,23.1
2010,4,19,12.446,33.2,38.7,29.2,30.1,23.2
2010,4,20,0,32.7,37.5,28.5,29.8,23.5
2010,4,21,0,32.2,36.3,28.3,29.5,24.2
2010,4,22,0,31.7,35.2,27.7,29,24.6
2010,4,23,0,33.1,37.9,28.2,29.2,24.4
2010,4,24,8.382,32,35.6,27.8,28.8,24.3
2010,4,25,0,31.4,34.9,27.3,28.6,24.1
2010,4,26,0,30.9,33.8,27.1,28.5,24.1
2010,4,27,0,30.4,33,26.6,28.5,24
2010,4,28,0,29.9,32,26.2,27.9,23.9
2010,4,29,0,29.2,30.2,25.4,28.1,23.7
2010,4,30,0,28.7,31.3,25.3,27.9,23.7
2010,5,1,4.572,28.3,31,25,27.8,23.5
2010,5,2,2.032,27.5,30.3,24,27.4,23.4
2010,5,3,0,27,29,23.4,27.4,23.2
2010,5,4,0,26.1,27.4,23,27.1,22.9
2010,5,5,0,25.1,25.2,22.1,26.8,23
2010,5,6,0,23.9,22.8,21.6,27.1,22.9
2010,5,7,0,23,20.9,20.3,26.4,22.5
2010,5,8,0,22,19.1,19.1,26.6,22.4
2010,5,9,0,21.4,18.4,19.1,26.7,22.3
2010,5,10,0.254,20.6,17.6,17.6,26.5,22.3
2010,5,11,0,19.4,16.9,16.1,26,22.2
2010,5,12,0,18.7,16.5,15.1,26,21.9
2010,5,13,0,18.9,34.6,13.9,25.6,22
2010,5,14,19.304,19.4,37.3,15,25.7,21.8
2010,5,15,7.874,21.2,34.5,15.4,24.8,21.9
2010,5,16,0,21.9,33.1,14.9,25.2,21.8
2010,5,17,2.54,22.1,31.9,14.9,25.6,21.5
2010,5,18,0,22,29.7,14.8,25.4,21.6
2010,5,19,0,22.5,35.6,15.6,24.5,21.6
2010,5,20,7.62,22.1,31.9,14.7,24.5,21.4
2010,5,21,0,21.6,28.9,13.5,24.6,21.3
2010,5,22,0,21.1,26.6,11.9,24.4,21.3
2010,5,23,0,20.7,24.2,11.6,24.3,21.3
2010,5,24,0,19.8,21.3,11.2,23.4,21.2
2010,5,25,0,19.7,32.7,9.5,23.3,21.2
2010,5,26,10.922,19.3,28.2,8.4,23.8,21
