Date,Trinity Mtn. (830) Precipitation Accumulation (in) Start of Day Values,
10/1/16,0,0
10/2/16,0,0
10/3/16,0,0
10/4/16,0,0
10/5/16,0.1,0
10/6/16,0.2,0.1
10/7/16,0.2,0
10/8/16,0.2,0
10/9/16,0.2,0
10/10/16,0.2,0
10/11/16,0.2,0
10/12/16,0.2,0
10/13/16,0.2,0
10/14/16,0.2,0
10/15/16,1.1,0.9
10/16/16,1.9,0.8
10/17/16,2.6,0
10/18/16,3.3,0.7
10/19/16,3.7,0.4
10/20/16,3.7,0
10/21/16,3.7,0
10/22/16,3.7,0
10/23/16,3.7,0
10/24/16,3.7,0
10/25/16,4.4,0
10/26/16,4.6,0.2
10/27/16,4.7,0.1
10/28/16,4.8,0.1
10/29/16,5,0
10/30/16,5,0
10/31/16,6.3,1.3
11/1/16,6.5,0.2
11/2/16,6.6,0
11/3/16,6.6,0
11/4/16,6.6,0
11/5/16,6.6,0
11/6/16,6.6,0
11/7/16,6.6,0
11/8/16,6.6,0
11/9/16,6.6,0
11/10/16,6.6,0
11/11/16,6.6,0
11/12/16,6.6,0
11/13/16,6.6,0
11/14/16,6.6,0
11/15/16,6.6,0
11/16/16,6.8,0.2
11/17/16,6.8,0
11/18/16,6.8,0
11/19/16,6.8,0
11/20/16,6.8,0
11/21/16,6.8,0
11/22/16,6.8,0
11/23/16,6.8,0
11/24/16,7.4,0.6
11/25/16,7.5,0.1
11/26/16,7.5,0
11/27/16,7.5,0
11/28/16,7.6,0.1
11/29/16,8.1,0.5
11/30/16,8.1,0
12/1/16,8.1,0
12/2/16,8.2,0.1
12/3/16,8.2,0
12/4/16,8.2,0
12/5/16,9.2,1
12/6/16,9.2,0
12/7/16,9.3,0.1
12/8/16,9.3,0
12/9/16,9.8,0.5
12/10/16,11.3,1.5
12/11/16,11.9,0.6
12/12/16,12.1,0
12/13/16,12.3,0.2
12/14/16,12.5,0.2
12/15/16,13.1,0.6
12/16/16,14.6,0
12/17/16,14.6,0
12/18/16,14.6,0
12/19/16,14.6,0
12/20/16,15,0
12/21/16,15.6,0.6
12/22/16,15.6,0
12/23/16,15.6,0
12/24/16,16.6,0
12/25/16,17.2,0.6
12/26/16,17.2,0
12/27/16,17.2,0
12/28/16,17.8,0
12/29/16,17.8,0
12/30/16,17.9,0.1
12/31/16,17.9,0
1/1/17,17.9,0
1/2/17,18.1,0.2
1/3/17,18.2,0.1
1/4/17,18.5,0.3
1/5/17,18.8,0
1/6/17,18.8,0
1/7/17,18.8,0
1/8/17,19.6,0.8
1/9/17,21.9,0
1/10/17,23,1.1
1/11/17,25.7,2.7
1/12/17,26.7,1
1/13/17,26.7,0
1/14/17,26.7,0
1/15/17,26.7,0
1/16/17,26.7,0
1/17/17,26.7,0
1/18/17,26.7,0
1/19/17,28.6,1.9
1/20/17,29.6,1
1/21/17,29.8,0
1/22/17,30,0.2
1/23/17,30.6,0.6
1/24/17,31,0.4
1/25/17,31,0
1/26/17,31,0
1/27/17,31,0
1/28/17,31.1,0.1
1/29/17,31.1,0
1/30/17,31.1,0
1/31/17,31.1,0
2/1/17,31.3,0.2
2/2/17,31.5,0
2/3/17,31.7,0.2
2/4/17,33.4,1.7
2/5/17,35.5,2.1
2/6/17,35.7,0
2/7/17,38.2,2.5
2/8/17,39.4,1.2
2/9/17,40.6,1.2
2/10/17,42,0
2/11/17,42.5,0.5
2/12/17,42.5,0
2/13/17,42.5,0
2/14/17,42.5,0
